image,class_id,class_name,confidence,xmin,ymin,xmax,ymax
RIMG4729.JPG,7,truck,0.6835765838623047,551.7460327148438,331.1563415527344,617.3297729492188,406.7974548339844
RIMG4729.JPG,0,person,0.4123741388320923,639.8160400390625,361.56964111328125,659.5933837890625,409.39849853515625
RIMG4729.JPG,7,truck,0.39448705315589905,0.0,310.074462890625,122.74229431152344,510.9266357421875
RIMG4730.JPG,7,truck,0.5564712882041931,506.10430908203125,232.77658081054688,606.5414428710938,354.1997985839844
RIMG4730.JPG,0,person,0.5121343731880188,648.8900146484375,279.26458740234375,677.9998779296875,362.20880126953125
RIMG4730.JPG,13,bench,0.30414387583732605,0.16263580322265625,498.1224670410156,36.58941650390625,572.4151611328125
RIMG4731.JPG,7,truck,0.7951299548149109,521.70703125,179.51156616210938,672.92041015625,368.8639221191406
RIMG4731.JPG,0,person,0.7834655046463013,753.2301025390625,250.24620056152344,814.0020751953125,388.225830078125
RIMG4731.JPG,7,truck,0.36347514390945435,359.34185791015625,248.7613983154297,495.06500244140625,393.10406494140625
RIMG4731.JPG,2,car,0.27029702067375183,354.61029052734375,245.6774444580078,410.92010498046875,291.67742919921875
RIMG4732.JPG,7,truck,0.8415234684944153,446.0467834472656,260.7728271484375,761.3917236328125,556.3605346679688
RIMG4732.JPG,0,person,0.7347415685653687,350.1130676269531,372.4764404296875,433.4150695800781,679.3309326171875
RIMG4732.JPG,7,truck,0.6829507946968079,0.0920257568359375,348.8966064453125,129.14588928222656,477.68682861328125
RIMG4732.JPG,0,person,0.2869498133659363,874.1788330078125,373.8609619140625,890.5692138671875,411.83349609375
RIMG4733.JPG,0,person,0.8944718241691589,892.107177734375,344.173095703125,1086.5845947265625,758.47705078125
RIMG4733.JPG,7,truck,0.7727136015892029,605.2548217773438,350.4501953125,813.1591186523438,519.0802001953125
RIMG4733.JPG,7,truck,0.5477463603019714,500.208984375,346.001953125,577.8687744140625,425.0382080078125
RIMG4733.JPG,6,train,0.37236475944519043,0.621246337890625,287.08819580078125,340.16046142578125,690.6552734375
RIMG4734.JPG,7,truck,0.6841897964477539,81.35255432128906,21.54833984375,531.360595703125,441.5709228515625
RIMG4734.JPG,12,parking meter,0.30962562561035156,611.19970703125,96.961181640625,905.3330078125,869.5101318359375
RIMG4735.JPG,0,person,0.8837162852287292,699.9932861328125,383.5385437011719,824.1583251953125,695.957763671875
RIMG4735.JPG,39,bottle,0.37998488545417786,969.3570556640625,545.6314086914062,1002.8463134765625,622.9572143554688
RIMG4735.JPG,10,fire hydrant,0.3310181498527527,918.7492065429688,541.8724365234375,994.1076049804688,678.765380859375
RIMG4780.JPG,0,person,0.8734641075134277,246.4412078857422,224.64552307128906,382.16790771484375,423.4222412109375
RIMG4780.JPG,0,person,0.5523825883865356,920.9429931640625,334.897216796875,1129.4764404296875,623.4789428710938
RIMG4780.JPG,2,car,0.42206892371177673,821.4990234375,64.13259887695312,1043.87744140625,162.50686645507812
RIMG4780.JPG,7,truck,0.3253556489944458,819.977294921875,64.58346557617188,1103.0899658203125,164.19454956054688
RIMG4780.JPG,0,person,0.29812538623809814,926.6470336914062,415.18829345703125,1129.912109375,622.8771362304688
RIMG4782.JPG,0,person,0.6294234991073608,1049.18115234375,178.14495849609375,1279.6171875,614.52490234375
RIMG4782.JPG,29,frisbee,0.3584810197353363,620.1836547851562,435.03875732421875,819.8501586914062,551.2000122070312
RIMG4783.JPG,0,person,0.8978148102760315,1034.9910888671875,285.55853271484375,1279.2318115234375,647.0247192382812
RIMG4783.JPG,0,person,0.8575605154037476,72.9677734375,241.50054931640625,298.31268310546875,446.47589111328125
RIMG4783.JPG,0,person,0.8127605319023132,320.4581298828125,8.725433349609375,401.8834228515625,218.15708923339844
RIMG4783.JPG,7,truck,0.5792551040649414,0.0,0.0,294.94610595703125,239.902587890625
RIMG4783.JPG,2,car,0.5101301074028015,253.32666015625,36.02204895019531,325.20294189453125,204.7766571044922
RIMG4783.JPG,2,car,0.3543718755245209,1095.519287109375,0.4344367980957031,1180.985107421875,62.14280319213867
RIMG4784.JPG,0,person,0.8736673593521118,736.5406494140625,376.914306640625,1279.816162109375,959.675048828125
RIMG4784.JPG,16,dog,0.47061997652053833,383.1407470703125,0.430877685546875,805.787353515625,349.96002197265625
RIMG4785.JPG,0,person,0.2796473205089569,988.290283203125,156.78607177734375,1279.565673828125,610.661865234375
RIMG4785.JPG,0,person,0.26125892996788025,507.3641357421875,153.172607421875,1279.35595703125,618.638427734375
